ID,Title,Director,Main_Actors,Genre,Release_Year,Runtime_Minutes,Language,Country,Rating,Personal_Rating
1,Sinners,Ryan Coogler,Michael B. Jordan; Hailee Steinfeld; Miles Caton,Drama; Action; Thriller; Horror,2025,137,English,USA,7.7,8.5
2,How to train your dragon,Dean DeBlois,Mason Thames; Nico Parker; Gerard Butler,Drama; Action; comedy,2025,126,English,USA,8.3,8
3,Haikyu!! The Dumpster Battle,Susumu Mitsunaka,Ayumu Murase; Kaito Ishikawa; Yu Hayashi,Animation; Sports; Drama,2024,85,Japanese,Japan,8.2,9
4,CՏ ancora domani,Paola Cortellesi,Paola Cortellesi; Valerio Mastandrea; Emanuela Fanelli,Drama,2023,118,Italian,Italy,9.3,10
5,Robot Dreams,Pablo Berger,Ivan Labanda; Graciela Molina,Animation; Drama; Romance,2023,102,Spanish,Spain,9.1,10
6,Her Story,Yihui Shao,Jia Song; Chuxi Zhong; Yu Zhang,Drama / Romance,2024,123,Chinese,China,8.9,9.8
7,Fantastic Beasts and Where to Find Them,David Yates,Eddie Redmayne; Katherine Waterston; Dan Fogler,Fantasy; Adventure,2016,132,English,USA,7.7,8
8,Inside Out 2,Kelsey Mann,Amy Poehler; Maya Hawke; Phyllis Smith,Animation; Comedy; Adventure,2024,97,English,USA,8.4,9.5
9,Memories of Murder,Bong Joon-ho,Song Kang-ho; Kim Sang-kyung; Kim Roe-ha,Crime; Drama; Thriller,2003,132,Korean,South Korean,8.9,9.2
10,Oppenheimer,Christopher Nolan,Cillian Murphy; Emily Blunt; Robert Downey Jr,Biography; Drama; History,2023,180,English,USA,8.8,9
